stopid,name_t,name_e,lat,lon
446,ตรงข้ามหมู่บ้านร่มเย็น,Romyen Village (Opposite),13.815169455,100.93482402
447,ตรงข้ามหมู่บ้านแลนด์วิลล่า,Land Villa Village (Opposite),13.9288268063217,100.407560565229
448,มิตรไมตรี8/3 หมู่บ้านกิตติชัยวิลลา2 ซีนะอุปถัมภ์,Mit Maitri 8/3  Kittichai Villa Village 2  Zina Foster,13.8577359804053,100.835140995889
449,ซอยมิตรไมตรี 8,Soi Mit Maitri 8,13.8587832472457,100.844651816527
450,ซอยมิตรไมตรี 6,Soi Mit Maitri 6,13.8593450000015,100.849705102843
451,โรงเรียนหนองจอกพิทยานุสสรณ์มัธยม,Nong Chok Phitthayanusorn Secondary School,13.8595758111654,100.853581431545
452,ตรงข้ามเลียบคลองบึงเตย,Liap Bueng Toei (Opposite),13.8740554,100.86339244
453,ตรงข้ามซอยประชาสำราญ 2,Soi Pracha Samran 2 (Opposite),13.884998954,100.86381575
454,ตรงข้ามซอยพัฒนสุข,Soi Phatanasuk (Opposite),13.900631689,100.86286501
455,ตรงข้ามหมู่บ้านเธียรทอง 2,Thien Thong 2 Village (Opposite),13.907215882,100.86311748
456,ตรงข้ามซอยเธียรทอง 2,Soi Thien Thong 2 (Opposite),13.9037769999763,100.863124913016
457,หมู่บ้านเธียรทอง 3,Thien Thong 3 Village,13.924552929913,100.864125975649
458,แยกหลวงแพ่ง,Luang Phaeng Intersection,13.8140182868337,100.936252320568
459,หมู่บ้านร่มเย็น,Romyen Village,13.8151114851968,100.934648291965
460,ทหารประชาอุทิศ1(ขาออก),Thahan Pracha Uthit 1,13.8156183793015,100.933801888071
461,หมู่บ้านเอื้ออาทร(ท่ารถสาย131),Baan Uea Athon (Bus Depot Line 131 ),13.8353301875648,100.907705317404
462,เดอะไพน์กอล์ฟแอนด์ลอดจ์,The Pine Golf & Lodge,13.8366603587615,100.905410151298
463,ตรงข้ามซอยสันติสุข 73,Soi Santi Suk 73 (Opposite),13.838743161,100.90209198
464,ซอยสันฆสันติสุข 69,Soi Sangkhasanti Suk 69,13.842211,100.900103
465,ตรงข้ามสุเหร่าคู่ ตรงข้ามโรงเรียนอนุสรณ์ตระกูลกอดีรี,Khu Mosque (Opposite),13.844644368,100.8968611
466,ตรงข้ามโรงสีขาว ซอยสันติสุข 40,Rice Mill (Opposite),13.846997442,100.89295422
467,โรงเรียนสามแยกท่าไข่,Sam Yaek Tha Khai School,13.8484680703504,100.890759145055
468,ซอยจันทร์สุข(ขาเข้า),Soi Chan Suk,13.849118478,100.88808029
469,หมู่บ้านนันทวันเซ็นเตอร์1,Nanthawan Center Village 1,13.8500334936687,100.883999348912
470,ซอยสันติสุข 28,Soi Santi Suk 28,13.8505980802391,100.881858838035
471,หมู่บ้านบุราพันธิ์ ธนันท์วัฒนะกิจ,Burapan Village,13.8524446591831,100.874962443263
472,ตรงข้ามโรงเรียนสุเหร่าหะยีมินา,Hayeemina School (Opposite),13.8538806149211,100.869187295686
473,ตรงข้ามโรงพยาบาลเวชการุณย์รัศมิ์,Wetchakarunrasm Hospital (Opposite),13.8557109583226,100.858218558739
474,ตรงข้ามซอยเด่นดวง,Soi Den Duang (Opposite),13.855895145,100.85676563
475,บิ๊กซีหนองจอก,Big C Nong chok,13.8557073418162,100.854726924351
476,ชุมชนแผ่นดินทองบ้านกระทุ่มราม,Ban Krathum Ram Community,13.8556015934642,100.851424783894
477,ตรงข้ามซอยเลียบวารี 18,Soi Liap wari 18 (Opposite),13.855532855,100.84949122
478,หมู่บ้านนันทวัน 5,Nanthawan Village 5,13.8553637510333,100.847306295402
479,ตรงข้ามซอยเลียบวารี 26,Soi Liap Wari 26 (Opposite),13.8549423465424,100.842873673547
480,ชุมชนพิบูรณ์ทรัพย์ 1,Piboonsap Community 1,13.854582878,100.83866023
481,ชุมชนทรัพย์เจริญ,Sapcharoen Community,13.854432507335,100.837345187231
482,หมู่บ้านนันทวัน10,Nanthawan 10 Village,13.8541870654286,100.834670461471
483,ตรงข้ามโรงเรียนเจียรดับ,Jiandap School (Opposite),13.8536102856321,100.828553406747
484,ซอยเลียบวารี 53,Soi Liap Wari 53,13.853157041,100.82353454
485,ชุมชนร่วมพัฒนาสินอนันต์,Ruam Phatthana Sin Anan Community,13.853064472,100.82202332
486,ซอยเลียบวารี 11,Soi Liap Wari 11,13.852736,100.818781
487,ชุมชนแผ่นดินทอง,Phaen Din Thong Community,13.852453086,100.81550153
488,ตรงข้ามโรงเรียนฮาซานันเอี๊ยะซาน,Hazanan Ia San School (Opposite),13.8521683921347,100.813537486671
489,ปัญญาไดนาโมแอร์,Panya Dinamo Air,13.850832,100.805623
490,เลียบวารีตรงข้ามซอยห้าพี่น้อง,Liap Wari,13.848988,100.802334
491,ตรงข้ามโรงเรียนสุเหร่าทรายกองดิน,Sai Kong Din Mosque School (Opposite),13.8335572313485,100.77471568042
492,ชุมชนเตวาหมัด,Teewamad Community,13.8213011501217,100.752819062743
493,ตรงข้ามการไฟฟ้ามีนบุรี,Metropolitan Electricity Authority Min Buri (Opposite),13.815956,100.746463
494,ซอยสุขถาวร 1,Soi Sukthawon 1,13.8289605328125,100.767342166663
495,ซอยร่วมสกุล,Soi Ruam Sakun,13.8341672112081,100.775054856863
496,แยกบาแล,Balae Intersection,13.8381950443368,100.782267558623
497,ศูนย์ถ่ายทอดเทคโนโลยีการเกษตรประจำแขวงซอยลาวัง,Agricultural Technology Transfer Center Khwaeng Soi La Wang,13.847987776828,100.799952488367
498,โรงเรียนวัดทรัพย์สโมสรนิกรเกษม,Wat Sap Samoson Nikorn Kasem School,13.849918627906,100.80366807522
499,ตรงข้ามปัญญาไดนาโมแอร์,Panya Dinamo Air (Opposite),13.85082,100.805275
500,โรงเรียนฮาซานันเอี๊ยะซาน,Hazanan Ia San School,13.8523642132897,100.813239323445
